DATE TIME HERO CLASS FIGHTS SCORE
04.07.23 18:06:52 Dudzio Shadow 4 -2
04.07.23 18:23:13 Dudzio Shadow 2 4
04.07.23 19:00:00 DonatTushk Warior 2 1
04.07.23 19:03:00 ŻarosławNiekaczyński Shadow 2 3
04.07.23 19:10:01 DoDos Defender 3 3
04.07.23 19:14:28 ŚmierdzacaStopa none 2 0
04.07.23 19:32:32 PokeDudzio none 5 1
04.07.23 23:06:11 Dudzio Shadow 1 -1
04.07.23 23:10:00 Test Shadow 3 4
04.07.23 23:21:27 StrongHero Shadow 3 4
04.07.23 23:50:47 Dudzio Shadow 4 -2
04.07.23 23:55:23 Tank Defender 2 6
05.07.23 00:00:08 Tank Defender 3 3
05.07.23 00:04:14 Tank Defender 3 5
05.07.23 00:13:05 TestTank Defender 3 3
05.07.23 00:33:13 no Defender 2 7
05.07.23 00:35:24 Assasin Defender 1 3
05.07.23 00:40:23 Teścior Shadow 4 9
05.07.23 00:53:43 no Warior 9 27
05.07.23 01:05:57 NewRings Warior 2 0
05.07.23 01:11:20 NewRings Warior 6 18
05.07.23 01:14:50 Nerings2 Warior 6 25
05.07.23 01:34:08 Lancelot Warior 32 134
05.07.23 01:52:30 bosstest Warior 10 93
05.07.23 01:56:33 hkhj Shadow 3 21
05.07.23 19:56:49 Dudzio Warior 10 31
06.07.23 00:41:00 hjkjhk Barbarian 1 3
06.07.23 01:02:26 VAmp Vampire 4 18
